Time, Wall_X, Displacement(σ), Left_Count, Right_Count, Packing_UNITLESS, Packing_ACTUAL_BOUND, Packing_ACTUAL_WITH_WALLBUFFER
0.344, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.346, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.347, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.349, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.350, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.352, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.354, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.355, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.357, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.358, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.360, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.362, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.363, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.365, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.366, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.368, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.370, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.371, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.373, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.374, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.376, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.378, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.379, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.381, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.382, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.384, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.386, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.387, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.389, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.390, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.392, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.394, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.395, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.397, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.398, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.400, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.402, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.403, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.405, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.406, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.408, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.410, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.411, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.413, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.414, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.416, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.418, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.419, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.421, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.422, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.424, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.426, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.427, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.429, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.430, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.432, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.434, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.435, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.437, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
0.438, 8.750, 0.000, 500, 500, 5.235988, 0.209440, 0.212270
