u,seed,t_stop,Px_stop,KE_stop,KE_left_stop,KE_right_stop,W_stop,Px_end,KE_end
0.01,9281,418.000022,13.38897853649,107.3841685131,50.00001008556,57.38415842759,7.384172367,6.585747338033,107.3841544472
0.01,9282,418.000022,-8.984256194444,107.4981890729,50.00001291313,57.49817615975,7.498192463,-9.071351200339,107.4981762969
0.01,9283,418.000022,-0.5074713551021,107.5951173773,50.00003541714,57.59508196016,7.595125618,3.989778904004,107.5951002833
0.01,9284,418.000022,-5.648367689456,107.373241476,50.00002586841,57.37321560756,7.373245322,-13.46201909921,107.3732285291
0.01,9285,418.000022,-2.911708356267,107.5897139004,50.00001259744,57.589701303,7.589719313,8.953249304333,107.5896970285
0.01,9286,418.000022,19.40289114612,107.5086425467,50.00002309347,57.50861945323,7.508648987,-7.910966146872,107.5086272037
0.01,9287,418.000022,-6.1070652652,107.4628941879,50.00001811249,57.46287607539,7.462898588,-12.24994926084,107.4628812864
0.01,9288,418.000022,-17.04942275364,107.6117919065,50.0000248888,57.61176701774,7.611796454,-10.67446403979,107.6117792475
0.01,9289,418.000022,6.02040643903,107.4869207096,50.00000657355,57.48691413604,7.486923729,7.20546215053,107.4869110957
0.02,9200,209.000011,1.986099866273,107.3259767634,50.00000356676,57.3259731966,7.325977329,-8.338847971595,107.3259693802
0.02,9201,209.000011,10.29076849435,107.4357438171,50.00000472147,57.43573909565,7.435745441,8.32752080405,107.4357347316
0.02,9202,209.000011,1.639834099533,107.2177034643,50.00000620156,57.21769726273,7.217704481,-15.7943623953,107.2176956604
0.02,9203,209.000011,-2.856062490465,107.6296337608,50.00000742475,57.62962633602,7.62963509,-1.339830122657,107.6296205539
0.02,9204,209.000011,16.03357348823,107.2524437061,50.00000711308,57.25243659298,7.252445024,-5.072277251354,107.252435334
0.02,9205,209.000011,7.088520575311,107.8354392451,50.00000136539,57.83543787974,7.835440308,-17.58688905698,107.8354308642
0.02,9206,209.000011,5.043785620358,107.7142259425,50.00000143328,57.71422450921,7.714227102,6.735448516983,107.7142133462
0.02,9207,209.000011,-0.2837206590617,107.530398192,50.00000951103,57.530388681,7.530400625,-7.932175982056,107.5303842539
0.02,9208,209.000011,5.243943002549,107.5166798965,50.00000729598,57.51667260047,7.516681516,-14.14907167668,107.5166657424
0.02,9209,209.000011,-10.71775612029,107.3105858473,50.00000585817,57.31057998914,7.310586779,4.620375536703,107.3105760405
0.02,9210,209.000011,-4.642016024671,107.2910349258,50.00000351745,57.29103140833,7.291035393,4.920323398718,107.2910251695
0.02,9211,209.000011,-12.43975993305,107.6300676279,50.00000786183,57.63005976611,7.630069651,-4.968801361838,107.630054937
0.02,9212,209.000011,-13.09447448145,107.3697025285,50.00000192142,57.36970060712,7.369703018,13.15529312415,107.3696929014
0.02,9213,209.000011,-17.40435814796,107.8773428337,50.00000738062,57.87733545306,7.877344511,6.947282917407,107.8773274325
0.02,9214,209.000011,13.05169512399,107.1696175895,50.00000394765,57.16961364182,7.169618479,-12.59791878706,107.169611032
0.02,9215,209.000011,-0.9606665001011,107.4940640792,50.00000187868,57.49406220054,7.494064843,8.97613722596,107.4940526052
0.02,9216,209.000011,-9.447649443746,107.6821681066,49.99999878932,57.6821693173,7.682168469,-14.47463263269,107.6821622895
0.02,9217,209.000011,3.972656161909,107.2110270825,50.00000341046,57.21102367207,7.211028037,-9.979991842568,107.2110203011
0.02,9218,209.000011,-12.11644511983,107.5093084304,50.00000598046,57.50930244999,7.509309585,-0.7832219810963,107.5092982652
0.02,9219,209.000011,1.006591563632,107.099833064,50.00000264999,57.09983041401,7.099833703,3.824496179168,107.0998229511
0.02,9220,209.000011,10.4139458025,107.3736217863,50.00000267596,57.37361911035,7.373622714,-12.50227122446,107.3736125654
0.02,9221,209.000011,-4.10646314929,107.516825492,50.00000492883,57.51682056317,7.5168268,6.009502588951,107.5168154764
0.02,9222,209.000011,13.7588802598,107.5034417373,50.00000966344,57.50343207382,7.503444808,-14.24461098412,107.5034330888
0.02,9223,209.000011,10.00954177227,107.3688187551,50.00000051946,57.36881823559,7.368819599,10.98743502039,107.368810091
0.02,9224,209.000011,-13.14006091303,107.3092145092,50.00000573519,57.30920877397,7.309215149,-1.948547152734,107.3092046414
0.02,9225,209.000011,16.48678604601,107.7310326346,50.00000811152,57.73102452309,7.731035143,-25.11432704598,107.7310242214
0.02,9226,209.000011,-0.5085994674922,107.6104899244,50.00000888619,57.61048103818,7.610492064,4.996740933763,107.610477932
0.02,9227,209.000011,-21.79294132407,107.8339975874,50.0000073045,57.83399028294,7.833998853,8.69845920243,107.8339866625
0.02,9228,209.000011,2.404938478597,107.482204737,50.00000611729,57.48219861976,7.482206048,4.2378162638,107.4821939485
0.02,9229,209.000011,-3.121991204982,107.1842729089,50.00000361875,57.18426929011,7.184273503,-2.658500567001,107.184265734
0.02,9230,209.000011,8.246108984014,107.5594449685,50.00000924236,57.55943572614,7.559447345,-3.069289031332,107.5594333919
0.02,9231,209.000011,-7.671902166139,107.238051976,50.0000055164,57.23804645964,7.238052683,-0.3773510646936,107.2380408973
0.02,9232,209.000011,-8.874511422057,107.4342414623,50.0000045965,57.43423686575,7.434242776,-1.518136378379,107.4342308608
0.02,9233,209.000011,4.124395353507,107.597654845,49.99999949046,57.59765535452,7.597655392,-19.07758828915,107.5976486449
0.02,9234,209.000011,-4.061295898396,107.2986835962,50.00000822338,57.29867537284,7.298685253,9.446042188485,107.2986740738
0.02,9235,209.000011,-4.887608364488,107.2905990389,50.00000599579,57.29059304307,7.290599848,4.195774458899,107.290588181
0.02,9236,209.000011,-17.35259603237,107.3834270351,50.00000011358,57.38342692154,7.383427305,1.17456739176,107.3834205343
0.02,9237,209.000011,-2.233947545215,107.4857599859,50.00000369853,57.48575628737,7.485761011,6.988745109911,107.4857497648
0.02,9238,209.000011,-17.91077780635,107.6183493004,50.0000056701,57.61834363029,7.618350711,3.580891769313,107.6183375146
0.02,9239,209.000011,-6.613028728775,107.2901420715,50.00000851157,57.29013355996,7.290143429,-12.44523468612,107.2901303362
0.02,9240,209.000011,-7.027737720463,107.3902333904,50.00000330929,57.39023008113,7.390234084,-24.99388324282,107.3902267149
0.02,9241,209.000011,5.930733845057,107.188311376,50.00000433087,57.18830704508,7.188312277,13.08890173724,107.1883025518
0.02,9242,209.000011,0.0898233118035,107.1853336272,50.00000675656,57.18532687063,7.185334573,-25.21946300803,107.1853274669
0.02,9243,209.000011,-3.432827327019,107.535981169,50.00000372582,57.53597744323,7.535982451,-14.11404528835,107.5359743368
0.02,9244,209.000011,4.283680138318,107.5248988814,50.00000099952,57.52489788192,7.524899603,1.036066686612,107.5248913435
