eta,L0,M,rms_full,rms_2nd_half,sd_traj,ZetaZp,Z2,r_iso_L0,r_iso_Leff,r_adi_L0,r_adi_Leff,used,disc
0.569996,6.8895,200,0.11745073777730125,0.13172969960400216,0.0959588170274083,20.544886355505973,31.117596557131762,0.8666582361751376,1.0138113452973276,1.3743066067883905,1.6076552113878286,25,0
0.569996,6.8895,1000,0.09493137632731637,0.10395606035924532,0.08502052712198964,20.544886355505973,31.117596557131762,0.6839336625035656,0.8000612900616887,1.0845504164731505,1.2687002452316445,25,0
0.590001,6.6559,50,0.11438126840781404,0.11336455535984757,0.10666652182686777,23.971574076171734,37.724896110217166,0.8339092225233786,0.9813498106744031,1.3378291648964202,1.5743660847317105,25,0
0.590001,6.6559,200,0.11344832174431595,0.12240204433823076,0.08668794020342398,23.971574076171734,37.724896110217166,0.900388955836887,1.0595835943271164,1.444481692172978,1.699875474271844,25,0
0.590001,6.6559,1000,0.09424279104040795,0.10397761988452209,0.08037571472080518,23.971574076171734,37.724896110217166,0.7648589621553277,0.9000910140224626,1.227052776209245,1.4440037081934107,25,0
0.609999,6.4377,50,0.10824418973688059,0.11288206587544489,0.09869679482594726,28.09576339946704,46.13307310749522,0.9294256052353618,1.1003481653683889,1.510708041921977,1.7885291872448112,25,0
0.609999,6.4377,200,0.09716173039673204,0.10554416487720539,0.07992474468018516,28.09576339946704,46.13307310749522,0.869008274780308,1.0288200104002039,1.4125044347954074,1.6722658108910744,25,0
0.609999,6.4377,1000,0.08130661268977522,0.08417914531777453,0.07008295833426657,28.09576339946704,46.13307310749522,0.6930972823574727,0.820558760989518,1.1265749860921344,1.333753570069208,25,0
0.630002,6.2333,50,0.10377289480708672,0.11097761748065411,0.09147558375504287,32.971952629918384,56.912795990384396,1.0223266948449128,1.2176769890846681,1.6879530849220576,2.0104939453585047,25,0
0.630002,6.2333,200,0.08410946699219897,0.09168054789587302,0.06792382698565498,32.971952629918384,56.912795990384396,0.8445619363589002,1.0059442259962037,1.3944475215929026,1.6609041592007032,25,0
0.630002,6.2333,1000,0.07565662566186139,0.08268845268317211,0.06249302135945043,32.971952629918384,56.912795990384396,0.7617266837447071,0.907280480344311,1.2576790884731588,1.4980014641201043,25,0
0.650003,6.0415,50,0.07444090509302866,0.07752978829013081,0.06738420516880311,38.27301326211033,70.69751384383169,0.7939079413841612,0.9513824909000119,1.3396098865578663,1.605326416669513,25,0
0.650003,6.0415,200,0.06420475998101621,0.0699949388425204,0.05558610699237774,38.27301326211033,70.69751384383169,0.7167508002965794,0.8589209481288872,1.2094178786038232,1.4493103468382422,25,0
0.650003,6.0415,1000,0.05600622460703698,0.059345142166965834,0.04896029506278051,38.27301326211033,70.69751384383169,0.6076964827069404,0.728235307006641,1.0254037953586086,1.2287963958462826,25,0
