eta,L0,M,run,seed,nu,peak_snr,peak_on_search_boundary,frequency_quality_pass,forced_advance,clamp_repair,overlap_repair,wall_overdue,wall_overdue_class,psi6_global_hold,psi6_global_end,gpt_health_reason,gpt_eligible_structure,eligible,exclusion_reasons,T_i_left,T_i_right,T_i_mean
0.019635,199.999496,2000,3,2261814527,0.00025868532431352675,149062.53344050187,0,1,0,0,0,2,t0_seeder_right_wall,0.0407747384,0.0431537004,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.977568138,0.964788862,0.971178500
0.019635,199.999496,2000,4,1902413269,0.00026596432488929303,96275.2735713015,0,1,0,0,0,0,none,0.0383898118,0.0213157606,,True,1,,0.992838870,0.973191302,0.983015086
0.019635,199.999496,2000,5,399021768,0.0002595850422680002,142630.2034425797,0,1,0,0,0,1,t0_seeder_right_wall,0.0139428638,0.0475126494,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.978660868,0.969215518,0.973938193
0.019635,199.999496,2000,6,2661456397,0.00025404638211009244,288281.6396294349,0,1,0,0,0,1,t0_seeder_right_wall,0.0206605868,0.0568633576,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.984438496,0.961611626,0.973025061
0.019635,199.999496,2000,7,925443137,0.00025850350474880383,129406.22103905487,0,1,0,0,0,2,t0_seeder_right_wall,0.02,0.0207853745,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.998923994,0.999618560,0.999271277
0.019635,199.999496,2000,8,2387822087,0.0002643374239094382,16821.536922955533,0,1,0,0,0,0,none,0.0513819454,0.0414948591,,True,1,,0.985348888,0.994206222,0.989777555
0.019635,199.999496,2000,9,3141686165,0.00025711741650953835,89493.58173578535,0,1,0,0,0,1,t0_seeder_right_wall,0.064906284,0.00826597008,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.961980970,0.977848244,0.969914607
0.019635,199.999496,200,0,156546057,0.0008997381120314097,412.5631188912187,0,1,0,0,0,1,t0_seeder_right_wall,0.0359474101,0.02,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.996523632,0.996122532,0.996323082
0.019635,199.999496,200,1,1591011356,0.0007853939886543029,12657.962234505974,0,1,0,0,0,1,t0_seeder_right_wall,0.00546132595,0.0328231564,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.994264844,0.985337766,0.989801305
0.019635,199.999496,200,10,1621741586,0.0007406817592591364,720.6508501927653,0,1,0,0,0,2,t0_seeder_right_wall,0.0339475024,0.0291032995,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=2,False,1,,0.995638040,0.988364436,0.992001238
0.019635,199.999496,200,11,3452934406,0.0008053219953128787,2068.606814194385,0,1,0,0,0,1,t0_seeder_right_wall,0.0313944406,0.0421487749,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.989236552,0.995756796,0.992496674
0.019635,199.999496,200,12,2960521837,0.000786164406937605,3649.3678460093734,0,1,0,0,0,1,t0_seeder_right_wall,0.04629451,0.0370068389,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.994437042,0.953010266,0.973723654
0.019635,199.999496,200,13,3891192305,0.0007505061790417881,5294.805680491481,0,1,0,0,0,1,t0_seeder_right_wall,0.02,0.0388118972,forced_advance=0 wall_clamp_repairs=0 overlap_repairs=0 wall_overdue=1,False,1,,0.980223558,0.985891356,0.983057457
